date,tag,asset,downloads
2026-09-09,v0.9.1,Ocarina-0.9.1-macOS-universal.zip,2
2026-09-09,v0.9.1,Ocarina-macOS-universal.zip,2
2026-09-09,v0.9.0,Ocarina-0.9.0-macOS-universal.zip,0
2026-09-09,v0.8.0,Ocarina-0.8.0-macOS-universal.zip,0
2026-09-09,v0.7.0,Ocarina-0.7.0-macOS-universal.zip,0
2026-09-09,v0.6.1,Ocarina-0.6.1-macOS-universal.zip,0
2026-09-09,v0.6.0,Ocarina-0.6.0-macOS-universal.zip,0
2026-09-09,v0.5.0,Ocarina-0.5.0-macOS-universal.zip,0
2026-09-09,v0.4.0,Ocarina-0.4.0-macOS-universal.zip,1
2026-09-09,v0.3.1,Ocarina-0.3.1-macOS-universal.zip,1
2026-09-09,v0.3.0,Ocarina-0.3.0-macOS-universal.zip,0
2026-09-09,v0.2.1,Ocarina-0.2.1-macOS-universal.zip,1
2026-09-09,v0.2.0,Ocarina-0.2.0-macOS-universal.zip,1
2026-09-09,v0.1.0,Ocarina-0.1.0-macOS-universal.zip,4
2026-09-10,v0.9.1,Ocarina-0.9.1-macOS-universal.zip,2
2026-09-10,v0.9.1,Ocarina-macOS-universal.zip,10
2026-09-10,v0.9.0,Ocarina-0.9.0-macOS-universal.zip,0
2026-09-10,v0.8.0,Ocarina-0.8.0-macOS-universal.zip,0
2026-09-10,v0.7.0,Ocarina-0.7.0-macOS-universal.zip,0
2026-09-10,v0.6.1,Ocarina-0.6.1-macOS-universal.zip,0
2026-09-10,v0.6.0,Ocarina-0.6.0-macOS-universal.zip,0
2026-09-10,v0.5.0,Ocarina-0.5.0-macOS-universal.zip,0
2026-09-10,v0.4.0,Ocarina-0.4.0-macOS-universal.zip,1
2026-09-10,v0.3.1,Ocarina-0.3.1-macOS-universal.zip,1
2026-09-10,v0.3.0,Ocarina-0.3.0-macOS-universal.zip,0
2026-09-10,v0.2.1,Ocarina-0.2.1-macOS-universal.zip,1
2026-09-10,v0.2.0,Ocarina-0.2.0-macOS-universal.zip,1
2026-09-10,v0.1.0,Ocarina-0.1.0-macOS-universal.zip,5
